"country","iso_country_code","year","civic_activism","se_civicactivism","intergroup_cohesion","se_intergroupcohesion","clubs_and_associations","se_clubsassociations","interpersonal_safety_and_trust","se_safetytrust","gender_equality","se_genderequality","inclusion","se_inclusion"
"Vietnam","VNM","2010",0.4901146,0.0132683,0.7471524,0.0042932,0.6035288,,0.5955577,0.0650392,0.8608956,0.034983,0.5394698,0.0240036
"Virgin Islands (U.S.)","VIR","2010",,,,,,,,,,,,
"West Bank and Gaza","","2010",,,,,,,,,0.6367182,0.0727336,,
"Yemen, Rep.","YEM","2010",0.4336334,0.0163881,0.5178329,0.0106793,,,0.5168103,0.0532036,0.4454495,0.0302377,,
"Zambia","ZMB","2010",0.4768873,0.0201259,0.7338113,0.0030748,0.546769,0.0720758,0.3430023,0.0424931,0.504884,0.0515484,0.4718259,0.0101105
"Zimbabwe","ZWE","2010",0.467875,0.0269393,0.5597588,0.0235673,0.5807936,0.1192601,0.3229127,0.0553128,0.6300322,0.0749823,0.3962137,0.0351626

"Indices of Social Development, June 2013","",,,,,,,,,,,,
"","",,,,,,,,,,,,
"Suggested Citation:","",,,,,,,,,,,,
"Source: Indices of Social Development, URL: http://www.IndSocDev.org/  ","",,,,,,,,,,,,			
"If you do not use the indices but underlying indicators, you should also give the data provider as source.","",,,,,,,,,,,,
"for example: Adult Female Literacy Rate: Source: World Development Indicators, accessed at http://www.IndSocDev.org/ ","",,,,,,,,,,,,
        
